St  Name                           Version                        Arch   Description                                                  Licenses
--  ----                           -------                        ----   -----------                                                  --------
ii  acl                            2.2.52-2                       armhf  Access control list utilities                                GPL LGPL-2.1
ii  adduser                        3.113+nmu3                     all    add and remove users and groups                              GPL-2
ii  alsa-utils                     1.0.28-1                       armhf  Utilities for configuring and using ALSA                     GPL-2
ii  apt                            1.0.9.8.3                      armhf  commandline package manager                                  GPL-2
ii  apt-listchanges                2.85.13+nmu1                   all    package change history notification tool                     GPL-2
ii  apt-utils                      1.0.9.8.3                      armhf  package management related utility programs                  GPL-2
ii  aptitude                       0.6.11-1                       armhf  terminal-based package manager                               GPL
ii  aptitude-common                0.6.11-1                       all    architecture independent files for the aptitude package mana GPL
ii  avahi-daemon                   0.6.31-5                       armhf  Avahi mDNS/DNS-SD daemon                                     GPL GPL-2 LGPL-2.1
ii  avrdude                        6.1-2+rpi1                     armhf  software for programming Atmel AVR microcontrollers          GPL-2
ii  base-files                     8+rpi1                         armhf  Debian base system miscellaneous files                       GPL
ii  base-passwd                    3.5.37                         armhf  Debian base system master password and group files           GPL-2
ii  bash                           4.3-11                         armhf  GNU Bourne Again SHell                                       GPL-3
ii  bash-completion                1:2.1-4                        all    programmable completion for the bash shell                   GPL-2+
ii  bind9-host                     1:9.9.5.dfsg-9+deb8u6          armhf  Version of 'host' bundled with BIND 9.X                      unknown
ii  binutils                       2.25-5                         armhf  GNU assembler, linker and binary utilities                   GFDL GPL LGPL
ii  bluez                          5.23-2+rpi2                    armhf  Bluetooth tools and daemons                                  GFDL GPL-2 LGPL-2.1
ii  bluez-firmware                 1.2-3+rpi1                     all    Firmware for Bluetooth devices                               unknown
ii  bsdmainutils                   9.0.6                          armhf  collection of more utilities from FreeBSD                    unknown
ii  bsdutils                       1:2.25.2-6                     armhf  basic utilities from 4.4BSD-Lite                             BSD-2-clause BSD-3-clause BSD-4-clause GPL-2 GPL-2+ GPL-3+ LGPL LGPL-2+ LGPL-2.1+ LGPL-3+ MIT public-domain
ii  build-essential                11.7                           armhf  Informational list of build-essential packages               GPL
ii  busybox                        1:1.22.0-9+deb8u1              armhf  Tiny utilities for small and embedded systems                GPL-2
ii  bzip2                          1.0.6-7                        armhf  high-quality block-sorting file compressor - utilities       GPL-2
ii  ca-certificates                20141019+deb8u1                all    Common CA certificates                                       GPL-2+ MPL-2.0
ii  cifs-utils                     2:6.4-1                        armhf  Common Internet File System utilities                        GPL-3 LGPL-3
ii  console-setup                  1.123                          all    console font and keymap setup program                        GPL-2
ii  console-setup-linux            1.123                          all    Linux specific part of console-setup                         GPL-2
ii  coreutils                      8.23-4                         armhf  GNU core utilities                                           GPL-3
ii  cpio                           2.11+dfsg-4.1+deb8u1           armhf  GNU cpio -- a program to manage archives of files            GPL-3
ii  cpp                            4:4.9.2-2                      armhf  GNU C preprocessor (cpp)                                     GPL
ii  cpp-4.9                        4.9.2-10                       armhf  GNU C preprocessor                                           Artistic GFDL-1.2 GPL GPL-2 GPL-3
ii  crda                           3.13-1                         armhf  wireless Central Regulatory Domain Agent                     ISC copyleft-next-0.3.0
ii  cron                           3.0pl1-127+deb8u1              armhf  process scheduling daemon                                    Artistic GPL-2+ ISC Paul-Vixie's-license
ii  curl                           7.38.0-4+deb8u4                armhf  command line tool for transferring data with URL syntax      BSD-3-Clause BSD-4-Clause ISC curl
ii  dash                           0.5.7-4                        armhf  POSIX-compliant shell                                        GPL
